std60_raw,pred
0.03,-0.26493824
0.03142857142857143,-0.26037782
0.032857142857142856,-0.2555998
0.03428571428571429,-0.2555998
0.03571428571428571,-0.2555998
0.037142857142857144,-0.2555998
0.03857142857142857,-0.2555998
0.04,-0.2555998
0.041428571428571426,-0.2555998
0.04285714285714286,-0.2555998
0.04428571428571428,-0.2555998
0.045714285714285714,-0.2555998
0.04714285714285714,-0.2555998
0.04857142857142857,-0.22955076
0.05,-0.22955076
0.05142857142857143,-0.15549015
0.05285714285714285,-0.14787121
0.054285714285714284,-0.14787121
0.055714285714285716,-0.14787121
0.05714285714285714,-0.12991743
0.058571428571428566,-0.07303211
0.06,-0.05432796
0.06142857142857143,-0.03593738
0.06285714285714286,-0.03593738
0.06428571428571428,-0.03593738
0.06571428571428571,-0.034289926
0.06714285714285714,-0.03703617
0.06857142857142856,-0.03703617
0.07,-0.03703617
0.07142857142857142,-0.03703617
0.07285714285714286,-0.032139868
0.07428571428571429,0.008535953
0.0757142857142857,0.01270405
0.07714285714285715,0.01766982
0.07857142857142857,0.01766982
0.08,0.023165137
0.08142857142857143,0.023165137
0.08285714285714285,0.023165137
0.08428571428571428,0.02553285
0.08571428571428572,0.02867658
0.08714285714285713,0.02867658
0.08857142857142858,0.02867658
0.09,0.02867658
0.09142857142857143,0.02867658
0.09285714285714286,0.02867658
0.09428571428571428,0.02867658
0.09571428571428571,0.02867658
0.09714285714285714,0.02867658
0.09857142857142857,0.03146679
0.1,0.039597176
0.10142857142857142,0.039597176
0.10285714285714286,0.039597176
0.10428571428571429,0.036051154
0.10571428571428572,0.036051154
0.10714285714285714,0.036051154
0.10857142857142857,0.036051154
0.11,0.036051154
0.11142857142857143,0.036051154
0.11285714285714285,0.036051154
0.11428571428571428,0.03642144
0.11571428571428571,0.03642144
0.11714285714285715,0.03642144
0.11857142857142856,0.03939137
0.12,0.03939137
0.12142857142857143,0.03939137
0.12285714285714286,0.03939137
0.12428571428571429,0.03939137
0.12571428571428572,0.03939137
0.12714285714285714,0.03939137
0.12857142857142856,0.03939137
0.13,0.03939137
0.13142857142857142,0.03939137
0.13285714285714284,0.0379275
0.13428571428571429,0.0379275
0.13571428571428573,0.0379275
0.13714285714285712,0.0379275
0.13857142857142857,0.0379275
0.14,0.0379275
0.14142857142857143,0.0379275
0.14285714285714285,0.0379275
0.1442857142857143,0.0379275
0.1457142857142857,0.0379275
0.14714285714285713,0.0379275
0.14857142857142858,0.0379275
0.15,0.0379275
0.1514285714285714,0.0379275
0.15285714285714286,0.0379275
0.1542857142857143,0.0379275
0.15571428571428572,0.0379275
0.15714285714285714,0.0379275
0.15857142857142856,0.0379275
0.16,0.0379275
0.16142857142857142,0.0379275
0.16285714285714287,0.0379275
0.16428571428571428,0.0379275
0.1657142857142857,0.0379275
0.16714285714285715,0.0379275
0.16857142857142857,0.0379275
0.17,0.0379275
0.17142857142857143,0.0379275
0.17285714285714285,0.0379275
0.1742857142857143,0.0379275
0.1757142857142857,0.0379275
0.17714285714285713,0.0379275
0.17857142857142858,0.0379275
0.18,0.0379275
0.18142857142857144,0.0379275
0.18285714285714286,0.0379275
0.18428571428571427,0.0379275
0.18571428571428572,0.0379275
0.18714285714285714,0.0379275
0.18857142857142856,0.0379275
0.19,0.0379275
0.19142857142857142,0.0379275
0.19285714285714287,0.0379275
0.19428571428571428,0.0379275
0.1957142857142857,0.0379275
0.19714285714285715,0.0379275
0.19857142857142857,0.0379275
0.2,0.0379275
